Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Blitz & Co KG / Smart Grid;2226790;26.02.2024;Updated UI for a more modern look.;Lisa Schulz;0.07627;0;Blitz & Co KG;abgerechnet;00:29
Wolkenbruch AG / IT Infrastructure;3490577;13.02.2024;Implemented user authentication system.;Olivia Berg;0.06125;0.05803;Wolkenbruch AG;abgerechnet;00:12
Hinterland GmbH / Community Building;4844007;13.02.2024;Fixed compatibility issues with legacy systems.;Lisa Schulz;0.05158;0;Hinterland GmbH;abgerechnet;00:01
Sonnenstrahl KG / Energy Efficiency;9156646;07.02.2024;Automated deployment processes for CI/CD pipeline.;Tom Braun;0.06013;0.07388;Sonnenstrahl KG;abgerechnet;00:29
Drachenfels GmbH / Fantasy Game Development;1435225;07.02.2024;Improved security protocols to protect data.;Lukas Fischer;0.0305;0.03545;Drachenfels GmbH;abgerechnet;00:03
Silberfuchs GmbH / Cybersecurity;5020870;01.02.2024;Enhanced search functionality with advanced filters.;Emma Hoffmann;0.12218;0;Silberfuchs GmbH;abgerechnet;00:18
Lichtblick AG / Solar Panel Tech;2361542;12.02.2024;Developed prototype for upcoming product launch.;Paul Bauer;0.1929;0.56916;Lichtblick AG;abgerechnet;04:41
Sternschuppen AG / Astrophysics;5053976;27.02.2024;Automated deployment processes for CI/CD pipeline.;Tom Braun;0.06153;0.0591;Sternschuppen AG;abgerechnet;00:33
Fels & Stein GmbH / Rock Mechanics;6139594;27.02.2024;Improved security protocols to protect data.;Anna Becker;0.08403;0;Fels & Stein GmbH;abgerechnet;00:09
Eisberg GmbH / Logistics Optimization;9997434;27.02.2024;Added localization support for multiple languages.;Lukas Fischer;0.03321;0.03521;Eisberg GmbH;abgerechnet;00:44
Wolkenbruch AG / IT Infrastructure;4425462;23.02.2024;Implemented caching mechanism for efficiency.;Hannah Boehm;0.07305;0.06321;Wolkenbruch AG;abgerechnet;00:14
Hinterland GmbH / Rural Development;2679147;01.02.2024;Resolved bug in the payment module.;Clara Klein;0.03521;0;Hinterland GmbH;abgerechnet;00:15
Wildfang AG / Adventure Gear;8361953;29.02.2024;Improved security protocols to protect data.;Anna Becker;0.07386;0.10854;Wildfang AG;abgerechnet;01:20
Kieselstein GmbH / Construction Innovation;8138744;02.02.2024;Added a new feature to improve user experience.;Anna Becker;0.03577;0.03176;Kieselstein GmbH;abgerechnet;00:39
Mondschein KG / Optical Engineering;8433343;06.02.2024;Implemented caching mechanism for efficiency.;Ben Richter;0.0688;0.07096;Mondschein KG;abgerechnet;00:16
Funkeln & Glanz KG / Luxury Goods;9540471;01.02.2024;Enhanced search functionality with advanced filters.;Lukas Fischer;0.19214;0.19139;Funkeln & Glanz KG;abgerechnet;02:02
Sternschuppen AG / Astrophysics;7846845;02.02.2024;Resolved bug in the payment module.;Emma Hoffmann;0.06937;0.07004;Sternschuppen AG;abgerechnet;00:53
Lichtblick AG / Renewable Energy;7965850;14.02.2024;Optimized database queries for faster load times.;Lea Schneider;0.10125;0;Lichtblick AG;abgerechnet;00:16
Wolfsblut GmbH / Veterinary Research;9015119;02.02.2024;Added a new feature to improve user experience.;Anna Becker;0.03075;0.03334;Wolfsblut GmbH;abgerechnet;00:04
Glücksklee GmbH / Health Solutions;8644669;01.02.2024;Implemented caching mechanism for efficiency.;Hannah Boehm;0.33237;0.43241;Glücksklee GmbH;abgerechnet;02:40
Mondschein KG / Innovation;2182253;29.02.2024;Refactored code for better maintainability.;Lisa Schulz;0.06837;0.11145;Mondschein KG;abgerechnet;00:58
Feuersturm GmbH / Emergency Planning;8071529;09.02.2024;Developed prototype for upcoming product launch.;Jan Kohler;0.07238;0;Feuersturm GmbH;abgerechnet;00:06
Feuersturm GmbH / Emergency Planning;8188382;16.02.2024;Updated UI for a more modern look.;Anna Becker;0.03637;0.03161;Feuersturm GmbH;abgerechnet;00:02
Silberfuchs GmbH / Cybersecurity;9050666;09.02.2024;Fixed compatibility issues with legacy systems.;Lara Zimmer;0.03552;0.03312;Silberfuchs GmbH;abgerechnet;00:02
Kieselstein GmbH / Urban Planning;7989992;05.02.2024;Integrated third-party API for extended functionality.;Noah Schmid;0.24666;0.2036;Kieselstein GmbH;abgerechnet;01:50
Drachenfels GmbH / Fantasy Game Development;5266182;20.02.2024;Implemented user authentication system.;Emma Hoffmann;0.11012;0.10311;Drachenfels GmbH;abgerechnet;00:53
Morgenstern AG / Solar Energy;2354564;12.02.2024;Redesigned landing page for better conversion rates.;David Meier;0.18129;0.31774;Morgenstern AG;abgerechnet;03:15
Sternschuppen AG / Astrophysics;1340807;14.02.2024;Fixed compatibility issues with legacy systems.;Tim Neumann;0.28722;0.30052;Sternschuppen AG;abgerechnet;02:22
Sandsturm AG / Climate Adaptation;8539406;21.02.2024;Improved security protocols to protect data.;Olivia Berg;0.10306;0.08762;Sandsturm AG;abgerechnet;01:06
Wildfang AG / Product Innovation;4240608;21.02.2024;Upgraded server infrastructure for scalability.;Felix Voigt;0.02869;0.02637;Wildfang AG;geprueft;00:00
Morgenstern AG / Eco-friendly Projects;5812673;26.02.2024;Implemented user authentication system.;Niklas Hahn;0.05931;0.14474;Morgenstern AG;abgerechnet;01:10
Weitblick KG / Retirement Planning;4226186;05.02.2024;Added localization support for multiple languages.;Tim Neumann;0.02808;0.03166;Weitblick KG;abgerechnet;00:39
Silberfuchs GmbH / Cybersecurity;7235505;26.02.2024;Improved error handling and logging mechanisms.;Jonas Wagner;0.30168;0;Silberfuchs GmbH;abgerechnet;00:19
Weitblick KG / Retirement Planning;6598931;13.02.2024;Implemented user authentication system.;Niklas Hahn;0.17376;0.18294;Weitblick KG;abgerechnet;01:38
Wolfsblut GmbH / Zoology;9321281;13.02.2024;Optimized database queries for faster load times.;Lara Zimmer;0.13137;0.14242;Wolfsblut GmbH;abgerechnet;00:58
Weitblick KG / Long-Term Investments;8581015;21.02.2024;Resolved bug in the payment module.;Anna Becker;0.03293;0.02955;Weitblick KG;abgerechnet;00:17
Mondschein KG / Optical Engineering;9461178;29.02.2024;Developed new analytics dashboard for insights.;Noah Schmid;0.07309;0.06111;Mondschein KG;abgerechnet;00:45
Weitblick KG / Long-Term Investments;2443550;14.02.2024;Improved error handling and logging mechanisms.;Lisa Schulz;0.64463;1.78699;Weitblick KG;abgerechnet;15:00
Sturm & Partner / Risk Management;6683259;14.02.2024;Added localization support for multiple languages.;Sara Brandt;0.05343;0.06442;Sturm & Partner;abgerechnet;00:26
Sturm & Partner / Market Analysis;5410263;01.02.2024;Automated deployment processes for CI/CD pipeline.;Paul Bauer;0.07174;0.07342;Sturm & Partner;abgerechnet;00:59
Wildfang AG / Outdoor Equipment;8479921;05.02.2024;Added localization support for multiple languages.;Felix Voigt;0.07803;0.09543;Wildfang AG;abgerechnet;00:42
Adlerflug GmbH / Flight Dynamics;3578043;23.02.2024;Conducted performance testing and optimizations.;Hannah Boehm;0.03463;0.02906;Adlerflug GmbH;abgerechnet;00:35
Funkeln & Glanz KG / Luxury Goods;7172988;01.02.2024;Refactored code for better maintainability.;Niklas Hahn;0.40932;1.05902;Funkeln & Glanz KG;abgerechnet;08:44
Mondschein KG / Night Vision Tech;2502047;21.02.2024;Redesigned landing page for better conversion rates.;Paul Bauer;0.37542;0.50526;Mondschein KG;abgerechnet;04:12
Kieselstein GmbH / Urban Planning;1087118;08.02.2024;Conducted performance testing and optimizations.;Sophie Schmidt;0.03226;0.035;Kieselstein GmbH;abgerechnet;00:35
Seeblick GmbH / Eco-Tourism;5545175;14.02.2024;Resolved bug in the payment module.;Laura Schwarz;0.03047;0.02725;Seeblick GmbH;abgerechnet;00:05
Wolfsblut GmbH / Veterinary Research;2997491;12.02.2024;Implemented user authentication system.;Hannah Boehm;0.0267;0.0304;Wolfsblut GmbH;abgerechnet;00:18
Fels & Stein GmbH / Mineral Extraction;4441011;02.02.2024;Updated UI for a more modern look.;Julia Weber;0.2473;0.23161;Fels & Stein GmbH;abgerechnet;02:21
Wolfsblut GmbH / Wildlife Conservation;6400427;07.02.2024;Improved error handling and logging mechanisms.;Lisa Schulz;0.09849;0;Wolfsblut GmbH;abgerechnet;00:06
Morgenstern AG / Green Initiatives;5591174;19.02.2024;Improved error handling and logging mechanisms.;Finn Lehmann;0.03542;0.05086;Morgenstern AG;abgerechnet;00:08
Kieselstein GmbH / Architectural Design;5875554;02.02.2024;Redesigned landing page for better conversion rates.;Laura Schwarz;0.102;0.10953;Kieselstein GmbH;abgerechnet;00:51
Himmelsstürmer KG / Pilot Programs;5527054;13.02.2024;Optimized database queries for faster load times.;Finn Lehmann;0.08866;0.11077;Himmelsstürmer KG;abgerechnet;01:30
Himmelsstürmer KG / Aircraft Maintenance;6688146;14.02.2024;Fixed compatibility issues with legacy systems.;Hannah Boehm;0.27646;0.81576;Himmelsstürmer KG;abgerechnet;06:38
Hinterland GmbH / Rural Development;5229819;08.02.2024;Refactored code for better maintainability.;Tim Neumann;0.0282;0.02877;Hinterland GmbH;abgerechnet;00:34
Sturm & Partner / Market Analysis;1727338;13.02.2024;Developed new analytics dashboard for insights.;Simon Seidel;0.03293;0.03418;Sturm & Partner;abgerechnet;00:12
Blitz & Co KG / Lightning Protection;9613575;06.02.2024;Fixed compatibility issues with legacy systems.;Emma Hoffmann;0.06752;0.06465;Blitz & Co KG;abgerechnet;00:58
Adlerflug GmbH / Aerospace Engineering;5077669;27.02.2024;Fixed compatibility issues with legacy systems.;Paul Bauer;0.36844;0.27842;Adlerflug GmbH;abgerechnet;02:01
Drachenfels GmbH / Virtual Reality;5345423;05.02.2024;Automated deployment processes for CI/CD pipeline.;Clara Klein;0.24768;0.23684;Drachenfels GmbH;abgerechnet;01:50
Himmelsstürmer KG / Pilot Programs;2665909;26.02.2024;Developed prototype for upcoming product launch.;Niklas Hahn;0.28991;0.48805;Himmelsstürmer KG;abgerechnet;05:11
Sandsturm AG / Water Scarcity;6120878;08.02.2024;Enhanced search functionality with advanced filters.;Hannah Boehm;0.07966;0.08133;Sandsturm AG;abgerechnet;00:48
Eisberg GmbH / Cold Chain Solutions;1866667;16.02.2024;Fixed compatibility issues with legacy systems.;Hannah Boehm;0.02608;0.03269;Eisberg GmbH;abgerechnet;00:24
Sandsturm AG / Water Scarcity;4453094;01.02.2024;Added localization support for multiple languages.;Lukas Fischer;0.0631;0.15048;Sandsturm AG;abgerechnet;01:16
Nordlicht KG / Arctic Exploration;8769175;16.02.2024;Enhanced search functionality with advanced filters.;Sophie Schmidt;0.48493;0.52864;Nordlicht KG;abgerechnet;04:11
Mondschein KG / Optical Engineering;4158551;12.02.2024;Enhanced search functionality with advanced filters.;Noah Schmid;0.02525;0.03116;Mondschein KG;abgerechnet;00:18
Wolfsblut GmbH / Zoology;9515028;22.02.2024;Upgraded server infrastructure for scalability.;Jan Kohler;0.0562;0.0535;Wolfsblut GmbH;abgerechnet;00:04
Kleeblatt AG / Sustainability;5716518;15.02.2024;Automated deployment processes for CI/CD pipeline.;Julia Weber;0.41407;0.35608;Kleeblatt AG;abgerechnet;03:15
Eisberg GmbH / Cold Chain Solutions;2732281;14.02.2024;Improved error handling and logging mechanisms.;Emma Kruger;0.03238;0.07479;Eisberg GmbH;abgerechnet;00:11
Sturm & Partner / Financial Strategy;2511438;08.02.2024;Enhanced mobile responsiveness of the website.;Simon Seidel;0.16356;0;Sturm & Partner;abgerechnet;00:05
Hinterland GmbH / Community Building;5019809;08.02.2024;Implemented caching mechanism for efficiency.;Sara Brandt;0.12602;0.11795;Hinterland GmbH;abgerechnet;01:02
Sonnenstrahl KG / Sustainable Solutions;6198757;23.02.2024;Updated UI for a more modern look.;Lisa Schulz;0.14357;0.11912;Sonnenstrahl KG;abgerechnet;01:16
Funkeln & Glanz KG / Luxury Goods;4928467;15.02.2024;Resolved bug in the payment module.;Jonas Wagner;0.03644;0.0702;Funkeln & Glanz KG;abgerechnet;00:34
Seeblick GmbH / Hotel Management;1219369;28.02.2024;Optimized database queries for faster load times.;Simon Seidel;0.235;0.213;Seeblick GmbH;abgerechnet;02:26
Wolkenbruch AG / IT Infrastructure;9414587;08.02.2024;Optimized database queries for faster load times.;Emma Kruger;0.10429;0.11769;Wolkenbruch AG;geprueft;00:33
Adlerflug GmbH / Aviation Safety;2820052;26.02.2024;Redesigned landing page for better conversion rates.;Sara Brandt;0.46768;0;Adlerflug GmbH;abgerechnet;00:10
Sonnenstrahl KG / Sustainable Solutions;3390594;12.02.2024;Resolved bug in the payment module.;Emma Hoffmann;0.05761;0;Sonnenstrahl KG;abgerechnet;00:12
Seeblick GmbH / Eco-Tourism;1673690;22.02.2024;Integrated third-party API for extended functionality.;Lena Krause;1.12943;2.62247;Seeblick GmbH;abgerechnet;20:21
Nordlicht KG / Arctic Exploration;4303399;28.02.2024;Integrated third-party API for extended functionality.;Niklas Hahn;0.06673;0.05708;Nordlicht KG;abgerechnet;00:54
Wasserfall AG / Water Conservation;8854806;26.02.2024;Improved error handling and logging mechanisms.;Hannah Boehm;0.03077;0.03719;Wasserfall AG;abgerechnet;00:02
Blitz & Co KG / Electrical Systems;4225434;01.02.2024;Resolved bug in the payment module.;Hannah Boehm;0.16639;0.17261;Blitz & Co KG;abgerechnet;01:23
Eisberg GmbH / Cold Chain Solutions;2137102;12.02.2024;Developed prototype for upcoming product launch.;Simon Seidel;0.06586;0.07311;Eisberg GmbH;abgerechnet;00:23
Weitblick KG / Long-Term Investments;6283047;05.02.2024;Improved security protocols to protect data.;Liam Scholz;0.02522;0.03263;Weitblick KG;abgerechnet;00:32
Kieselstein GmbH / Construction Innovation;6056541;12.02.2024;Integrated third-party API for extended functionality.;Olivia Berg;0.75634;1.15806;Kieselstein GmbH;abgerechnet;07:33
Bergwerk AG / Mining Expansion;7510478;21.02.2024;Developed prototype for upcoming product launch.;Laura Schwarz;0.11327;0.12364;Bergwerk AG;abgerechnet;00:52
Morgenstern AG / Eco-friendly Projects;8666594;23.02.2024;Added a new feature to improve user experience.;Lisa Schulz;0.30719;0.25267;Morgenstern AG;abgerechnet;02:03
Wasserfall AG / Eco-friendly Solutions;8025331;20.02.2024;Refactored code for better maintainability.;Lena Krause;0.08417;0.07821;Wasserfall AG;abgerechnet;00:38
Himmelsstürmer KG / Pilot Programs;3671859;15.02.2024;Added a new feature to improve user experience.;Noah Schmid;0.05052;0.06088;Himmelsstürmer KG;abgerechnet;00:06
Funkeln & Glanz KG / Luxury Goods;3989179;09.02.2024;Resolved bug in the payment module.;Sophie Schmidt;0.03168;0;Funkeln & Glanz KG;abgerechnet;00:12
Wildfang AG / Product Innovation;8362687;21.02.2024;Enhanced mobile responsiveness of the website.;Emma Hoffmann;0.40774;0.48442;Wildfang AG;abgerechnet;03:39
Sonnenstrahl KG / Energy Efficiency;5309766;28.02.2024;Improved error handling and logging mechanisms.;Mia Koch;0.02956;0.02774;Sonnenstrahl KG;abgerechnet;00:31
Glücksklee GmbH / Biotech Research;1609692;23.02.2024;Developed prototype for upcoming product launch.;Finn Lehmann;0.5692;0;Glücksklee GmbH;abgerechnet;00:24
Eisberg GmbH / Cold Chain Solutions;8550112;13.02.2024;Fixed compatibility issues with legacy systems.;Laura Schwarz;0.02641;0.03681;Eisberg GmbH;abgerechnet;00:10
Wolfsblut GmbH / Wildlife Conservation;2862919;15.02.2024;Updated UI for a more modern look.;Anna Becker;0.24372;0.35108;Wolfsblut GmbH;abgerechnet;02:49
Lichtblick AG / Renewable Energy;2595319;02.02.2024;Optimized database queries for faster load times.;Tim Neumann;0.02836;0;Lichtblick AG;abgerechnet;00:08
Glücksklee GmbH / Health Solutions;3135148;08.02.2024;Implemented user authentication system.;David Meier;0.06158;0.05605;Glücksklee GmbH;abgerechnet;00:09
Sonnenstrahl KG / Sustainable Solutions;3849204;07.02.2024;Automated deployment processes for CI/CD pipeline.;Lisa Schulz;0.17069;0.17621;Sonnenstrahl KG;abgerechnet;01:13
Sandsturm AG / Water Scarcity;9297676;08.02.2024;Automated deployment processes for CI/CD pipeline.;Finn Lehmann;0.06384;0;Sandsturm AG;abgerechnet;00:20
Fels & Stein GmbH / Rock Mechanics;7543639;20.02.2024;Redesigned landing page for better conversion rates.;Lisa Schulz;0.11299;0.10446;Fels & Stein GmbH;abgerechnet;00:55
Bergwerk AG / Safety Enhancement;7377446;14.02.2024;Enhanced mobile responsiveness of the website.;Sara Brandt;0.03377;0.02579;Bergwerk AG;abgerechnet;00:15
Kieselstein GmbH / Urban Planning;8256141;15.02.2024;Implemented user authentication system.;Simon Seidel;0.03287;0.0553;Kieselstein GmbH;abgerechnet;00:52
Eisberg GmbH / Supply Chain;1851739;05.02.2024;Developed new analytics dashboard for insights.;Emma Hoffmann;0.02698;0.02728;Eisberg GmbH;abgerechnet;00:33
Sternschuppen AG / Space Exploration;7288762;20.02.2024;Added a new feature to improve user experience.;Ben Richter;0.05024;0.0508;Sternschuppen AG;abgerechnet;00:31
Feuersturm GmbH / Emergency Planning;4533827;07.02.2024;Upgraded server infrastructure for scalability.;Mia Koch;0.02919;0;Feuersturm GmbH;abgerechnet;00:21
Hinterland GmbH / Rural Development;6471176;19.02.2024;Conducted performance testing and optimizations.;Noah Schmid;0.07011;0.07337;Hinterland GmbH;abgerechnet;00:10
Wolkenbruch AG / Cloud Computing;4003296;15.02.2024;Fixed compatibility issues with legacy systems.;Niklas Hahn;0.05871;0.0722;Wolkenbruch AG;abgerechnet;00:21
Fels & Stein GmbH / Rock Mechanics;3924175;08.02.2024;Implemented caching mechanism for efficiency.;Laura Schwarz;0.20411;0.21482;Fels & Stein GmbH;abgerechnet;01:29
Kleeblatt AG / Agriculture Innovation;7409131;12.02.2024;Developed prototype for upcoming product launch.;Sophie Schmidt;0.02669;0.0316;Kleeblatt AG;abgerechnet;00:38
Kleeblatt AG / Crop Management;6864125;08.02.2024;Developed prototype for upcoming product launch.;Julia Weber;0.20393;0;Kleeblatt AG;abgerechnet;00:05
Feuersturm GmbH / Emergency Planning;6856879;26.02.2024;Upgraded server infrastructure for scalability.;Anna Becker;0.06594;0.06473;Feuersturm GmbH;abgerechnet;00:44
Schattenspringer AG / Digital Media;2627706;14.02.2024;Fixed compatibility issues with legacy systems.;Lena Krause;0.19621;0.16598;Schattenspringer AG;abgerechnet;01:21
Wolkenbruch AG / Cloud Computing;2732812;22.02.2024;Automated deployment processes for CI/CD pipeline.;Sophie Schmidt;0.06969;0.05908;Wolkenbruch AG;abgerechnet;00:17
Fels & Stein GmbH / Mineral Extraction;1608429;14.02.2024;Integrated third-party API for extended functionality.;Olivia Berg;0.03487;0.03718;Fels & Stein GmbH;abgerechnet;00:05
Glücksklee GmbH / Pharmaceutical Development;3343703;06.02.2024;Conducted performance testing and optimizations.;Olivia Berg;0.18633;0.19243;Glücksklee GmbH;abgerechnet;01:43
Feuersturm GmbH / Fire Safety;2107149;19.02.2024;Redesigned landing page for better conversion rates.;Lukas Fischer;0.05217;0;Feuersturm GmbH;abgerechnet;00:18
Lichtblick AG / Solar Panel Tech;3072914;14.02.2024;Developed new analytics dashboard for insights.;Finn Lehmann;0.13689;0.16152;Lichtblick AG;abgerechnet;01:27
Sturm & Partner / Risk Management;5054787;28.02.2024;Implemented caching mechanism for efficiency.;Jan Kohler;0.17539;0.15074;Sturm & Partner;abgerechnet;01:35
